TIMESTAMP, EVENT, PSI_SOME_AVG10, PSI_SOME_AVG60, PSI_FULL_AVG10, PSI_FULL_AVG60, MEM_AVAIL_KB, COND_MEM_PRESSURE, COND_PSI_PRESSURE
2026-03-13T06:41:23.791Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15317416, False, False
2026-03-13T06:41:25.958Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15324956, False, False
2026-03-13T06:41:28.126Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15331792, False, False
2026-03-13T06:41:30.297Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15330840, False, False
2026-03-13T06:41:32.460Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15330700, False, False
2026-03-13T06:41:34.628Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15324800, False, False
2026-03-13T06:41:36.794Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15329536, False, False
2026-03-13T06:41:38.960Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15310548, False, False
2026-03-13T06:41:41.126Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15322348, False, False
2026-03-13T06:41:43.293Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15327868, False, False
2026-03-13T06:41:45.458Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15319584, False, False
2026-03-13T06:41:47.624Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15325816, False, False
2026-03-13T06:41:49.791Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15328848, False, False
2026-03-13T06:41:51.964Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15324432, False, False
2026-03-13T06:41:54.151Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15313304, False, False
2026-03-13T06:41:56.336Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15313492, False, False
2026-03-13T06:41:58.500Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15329132, False, False
2026-03-13T06:42:00.668Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15314220, False, False
2026-03-13T06:42:02.832Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15323312, False, False
2026-03-13T06:42:05.005Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15316152, False, False
2026-03-13T06:42:07.175Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15327100, False, False
2026-03-13T06:42:09.341Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15329540, False, False
2026-03-13T06:42:11.520Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15316248, False, False
2026-03-13T06:42:13.689Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15324876, False, False
2026-03-13T06:42:15.859Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15321696, False, False
2026-03-13T06:42:18.024Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15328248, False, False
2026-03-13T06:42:20.194Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15317004, False, False
2026-03-13T06:42:22.372Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15332368, False, False
2026-03-13T06:42:24.546Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15327812, False, False
2026-03-13T06:42:26.711Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15330600, False, False
